taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,Phylum,Class,Order,Family,Genus,Species,Cultured,Habitat,Genome Size   * assembled,Gene Count   * assembled
2773858064,Archaea,Finished,Thermococcales genome sequencing,Thermococcus thioreducens OGL-20P,Ecole Normale Superieure de Lyon,2773858064,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus thioreducens,Yes,,2065932,2390
2519103099,Archaea,Finished,Methanolobus psychrophilus R15,Methanolobus psychrophilus R15,Beijing Genomics Institute (BGI),2519103099,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus psychrophilus,Yes,,3072769,3229
2728369539,Archaea,Finished,Complete genome of Methanobacterium congolense Buetzberg,Methanobacterium congolense Buetzberg,"Center for Biotechnology (CeBiTec), Bielefeld Univeristy",2728369539,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium congolense,Yes,,2469575,2430
644736411,Archaea,Finished,Thermococcus gammatolerans EJ3,Thermococcus gammatolerans EJ3,CEA Genoscope,644736411,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus gammatolerans,Yes,"Aquatic, Hot spring, Hydrothermal vent",2045438,2206
2684622737,Archaea,Permanent Draft,Genome sequencing of Sulfolobus acidocaldarius strains from two hot springs in Yellowstone National Park,Sulfolobus acidocaldarius GG12-C01-22,"University of Illinois, Urbana-Champaign",2684622737,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus acidocaldarius,Yes,,2219098,2432
2684622713,Archaea,Permanent Draft,Genome sequencing of Sulfolobus acidocaldarius strains from two hot springs in Yellowstone National Park,Sulfolobus acidocaldarius NG05A_C05_01,"University of Illinois, Urbana-Champaign",2684622713,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus acidocaldarius,Yes,,2213924,2464
2773858044,Archaea,Finished,Genome sequencing of Cuniculiplasma divulgatum PM4,Cuniculiplasma divulgatum PM4,Baltic Federal University,2773858044,Candidatus Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Cuniculiplasmataceae,Cuniculiplasma,Cuniculiplasma divulgatum,Yes,,1878916,1916
2835723613,Archaea,Permanent Draft,Methanosarcina sp. DH2,Methanosarcina sp. DH2,Molecular Research LP (MR DNA),2835723613,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,unclassified,Yes,,4596082,4130
2788500263,Archaea,Finished,Candidatus Nitrosocaldus islandicus genome sequencing,Candidatus Nitrosocaldus islandicus,University of Vienna,2788500263,Thaumarchaeota,Nitrososphaeria,Candidatus Nitrosocaldales,Candidatus Nitrosocaldaceae,Candidatus Nitrosocaldus,Candidatus Nitrosocaldus islandicus,Yes,,1617394,1790
2554235506,Archaea,Permanent Draft,Haloarchaeal genomes,Halococcus salifodinae BIp,"University of California, Davis",2554235506,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Halococcus salifodinae,Yes,,4199784,4127
2913406730,Archaea,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Halarchaeum rubridurum DSM 22443,DOE Joint Genome Institute (JGI),2913406730,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,Halarchaeum rubridurum,Yes,,2815940,2964
2617271223,Archaea,Permanent Draft,Genome sequencing of Halobellus rufus CBA1103,Halobellus rufus CBA1103,Korea Basic Science Institute (KBSI),2617271223,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,Halobellus rufus,Yes,,3852219,4006
2816332101,Archaea,Permanent Draft,Characterization of novel CO-oxidizing extreme halophiles,Halobacterium sp. PCN9,Louisiana State University,2816332101,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium sp.,Yes,Salt,3511772,4003
2923402010,Archaea,Finished,Aeropyrum pernix K1,Aeropyrum pernix K1,National Institute of Technology and Evaluation,2923402010,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,Aeropyrum pernix,Yes,"Hydrothermal vent, Marine",1669696,1790
2904979300,Archaea,Permanent Draft,Genome of Haloferax strains isolated from high-salt tide-pools,Haloferax sp. Atlit-19N,Tel Aviv University,2904979300,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. Atlit-19N,Yes,,4019651,4171
2651869596,Archaea,Permanent Draft,"Deep subsurface shale carbon reservoir microbial communities from Ohio and West Virginia, USA",Haloterrigena hispanica CDM_1,DOE Joint Genome Institute (JGI),2651869596,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,Haloterrigena hispanica,Yes,,3914267,4252
2917938226,Archaea,Permanent Draft,Genome Encyclopedia of Bacteria and Archaea VI: Functional Genomics of Type Strains,Methanofollis sp. W23,DOE Joint Genome Institute (JGI),2917938226,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanofollis,Methanofollis sp. W23,Yes,,2907262,2793
2648501819,Archaea,Permanent Draft,Halarchaeum acidiphilum MH1-52-1,Halarchaeum acidiphilum JCM 16109,Japan Agency for Marine-Earth Science and Technology,2648501819,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,Halarchaeum acidiphilum,Yes,,2617647,2884
2630968972,Archaea,Permanent Draft,Methanococcoides methylutens DSM 2657 Genome sequencing,Methanococcoides methylutens DSM 2657,King Abdullah University of Science and Technology,2630968972,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides methylutens,Yes,,2508511,2527
2547132062,Archaea,Permanent Draft,"Pan-genome of Methanobrevibacter smithii, in twins",Methanobrevibacter smithii TS94A,Washington University in St. Louis,2547132062,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter smithii,Yes,"Host, Human intestinal microflora, Soil",1889378,1861
2554235497,Archaea,Permanent Draft,Haloarchaeal genomes,Natronorubrum sulfidifaciens JCM 14089,"University of California, Davis",2554235497,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,Natronorubrum sulfidifaciens,Yes,"Aquatic, Fresh water",3460288,3474
2756170194,Archaea,Permanent Draft,Characterization of novel CO-oxidizing extreme halophiles,Halovenus sp. WSH3,Michigan State University,2756170194,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halovenus,unclassified,Yes,Hypersaline soil,3245916,3337
2667527937,Archaea,Permanent Draft,"Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA",Methanosarcina mazei 1.H.A.1A.6,"University of Illinois, Urbana-Champaign",2667527937,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Yes,,4069379,3594
2558860254,Archaea,Finished,Thermococcus paralvinellae ES1,Thermococcus paralvinellae ES1,Kyunghee University,2558860254,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus paralvinellae,Yes,,1957742,2066
2681813009,Archaea,Permanent Draft,Vulcanisaeta genome project - The University of Tokyo,Vulcanisaeta distributa JCM 11213,University of Tokyo,2681813009,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta,Vulcanisaeta distributa,Yes,,2422357,4807
2548876772,Archaea,Permanent Draft,"Study the patterns of natural variation and gene flow, as well as virus-host coevolution in thermophilic Archaea",Sulfolobus islandicus M.16.22,University of Illinois,2548876772,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus islandicus,Yes,,2680985,3127
2681813006,Archaea,Permanent Draft,Genome sequencing of Methanobacterium formicicum JCM 10132,Methanobacterium formicicum JCM 10132,University of Tokyo,2681813006,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium formicicum,Yes,,2437688,3856
2926682867,Archaea,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains",Methanocalculus alkaliphilus AMF2,DOE Joint Genome Institute (JGI),2926682867,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocalculaceae,Methanocalculus,Methanocalculus alkaliphilus,Yes,,2087147,2272
2728369536,Archaea,Finished,"Study the patterns of natural variation and gene flow, as well as virus-host coevolution in thermophilic Archaea",Sulfolobus islandicus M.16.2,University of Illinois,2728369536,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus islandicus,Yes,,2645252,3065
2681813116,Archaea,Permanent Draft,"Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA",Methanosarcina mazei 1.H.A.1A.4,"University of Illinois, Urbana-Champaign",2681813116,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Yes,,3982935,3502
648028029,Archaea,Finished,"Halalkalicoccus jeotgali B3, DSM 18796","Halalkalicoccus jeotgali B3, DSM 18796",Kyunghee University,648028029,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus,Halalkalicoccus jeotgali,Yes,"Fermented food product, Fish, Host",3698650,3925
2698536698,Archaea,Permanent Draft,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera",Haladaptatus paucihalophilus DSM 18195,DOE Joint Genome Institute (JGI),2698536698,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,Haladaptatus paucihalophilus,Yes,,4283698,4455
2758568028,Archaea,Finished,Genome sequencing of Thermococcus sp. 5-4,Thermococcus sp. 5-4,CEA Genoscope,2758568028,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp. 5-4,Yes,,1854909,2059
2660238431,Archaea,Permanent Draft,"Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA",Methanosarcina mazei 1.H.A.2.8,"University of Illinois, Urbana-Champaign",2660238431,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Yes,,4063852,3579
2636415484,Archaea,Finished,Genome sequencing of Sulfolobus solfataricus strains - University of Nebraska-Lincoln,Saccharolobus solfataricus 98/2 SULC,University of Nebraska-Lincoln,2636415484,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Saccharolobus,Saccharolobus solfataricus,Yes,,2727312,3072
2619618869,Archaea,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains",Halobellus limi CGMCC 1.10331,DOE Joint Genome Institute (JGI),2619618869,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,Halobellus limi,Yes,,3735964,3747
650716055,Archaea,Finished,"CSP_787660, Methanoarchaea",Methanothermococcus okinawensis IH1,DOE Joint Genome Institute (JGI),650716055,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,Methanothermococcus okinawensis,Yes,"Aquatic, Deep sea, Fresh water, Hot spring, Hydrothermal vent, Marine",1677455,1672
2681813016,Archaea,Permanent Draft,Genome sequencing of Acidiplasma cupricumulans JCM 13668,Acidiplasma cupricumulans JCM 13668,University of Tokyo,2681813016,Candidatus Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Acidiplasma,Acidiplasma cupricumulans,Yes,,1743370,3385
646311906,Archaea,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Archaeoglobus profundus Av18, DSM 5631",DOE Joint Genome Institute (JGI),646311906,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus profundus,Yes,"Aquatic, Deep sea, Marine",1563423,1911
640753014,Archaea,Finished,Acidic Peat Bog methanogen,Methanoregula boonei 6A8,DOE Joint Genome Institute (JGI),640753014,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,Methanoregula boonei,Yes,"Fresh water, Terrestrial",2542943,2518
2802429591,Archaea,Permanent Draft,Methanosphaera cuniculi 1R-7 genome sequencing,Methanosphaera cuniculi 1R-7,"University of California, Santa Barbara",2802429591,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera cuniculi,Yes,,1927090,1685
2508501018,Archaea,Permanent Draft,"Haloarcula vallismortis J.F. 54, ATCC 29715",Haloarcula vallismortis J.F. 54,San Diego State University,2508501018,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula vallismortis,Yes,Aquatic,3930055,4168
2757320366,Archaea,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Methanothermobacter defluvii DSM 7466,DOE Joint Genome Institute (JGI),2757320366,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter defluvii,Yes,"Sludge, Wastewater",1709557,1813
638154512,Archaea,Finished,Picrophilus torridus DSM 9790,Picrophilus torridus DSM 9790,"Association Nationale de la Recherche et de la Technologie (ANRT), Technical University of Hamburg, University of Gottingen",638154512,Candidatus Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Picrophilaceae,Picrophilus,Picrophilus torridus,Yes,Soil,1545895,1605
2791355074,Archaea,Permanent Draft,Halorubrum,Halorubrum persicum C49,University of Connecticut,2791355074,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum persicum,Yes,,3569702,3617
2775506854,Archaea,Permanent Draft,Comparative genomics of Nitrosotalea,Nitrosotalea bavarica SbT1,University of Vienna,2775506854,Thaumarchaeota,unclassified,unclassified,unclassified,Candidatus Nitrosotalea,Candidatus Nitrosotalea bavarica,Yes,,1553159,1874
2503044002,Archaea,Permanent Draft,Desulfurococcales archaeon,Desulfurococcales archaeon,,2503044002,Crenarchaeota,Thermoprotei,Desulfurococcales,unclassified,unclassified,unclassified,Yes,,1711839,2093
2554235458,Archaea,Finished,Thermofilum adornatus 1910b Genome sequencing,Thermofilum adornatum 1910b,Baltic Federal University,2554235458,unclassified,unclassified,unclassified,Thermofilaceae,Thermofilum,Thermofilum adornatum,Yes,,1750259,1942
638154502,Archaea,Finished,"Archaeoglobus fulgidus VC-16, DSM 4304","Archaeoglobus fulgidus VC-16, DSM 4304",J. Craig Venter Institute (JCVI),638154502,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,Yes,"Aquatic, Marine",2178400,2519
643692044,Archaea,Finished,LGT in Sulfolobus islandicus,Sulfolobus islandicus L.S.2.15,DOE Joint Genome Institute (JGI),643692044,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus islandicus,Yes,Hot spring,2736272,3068
2502545036,Archaea,Permanent Draft,Candidatus Nitrosopumilus sp. (BD31),Candidatus Nitrosopumilus sp. BD31,J. Craig Venter Institute (JCVI),2502545036,Thaumarchaeota,unclassified,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,uncultured Candidatus Nitrosopumilus sp.,Yes,Sediment,1754298,2338
2758568029,Archaea,Finished,Thermococcales genome sequencing,Thermococcus sp. P6,Ecole Normale Superieure de Lyon,2758568029,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp. P6,Yes,,1522818,1676
2684622658,Archaea,Finished,Complete genome sequence of Methanobacterium formicicum Mb9,Methanobacterium formicicum Mb91,"Center for Biotechnology (CeBiTec), Bielefeld Univeristy",2684622658,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium formicicum,Yes,,2494510,2469
2657244981,Archaea,Permanent Draft,"Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA",Methanosarcina mazei 1.H.M.2.2,"University of Illinois, Urbana-Champaign",2657244981,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Yes,,4079868,3578
2627853658,Archaea,Finished,Methanogenic archaea and the global carbon cycle UIUC,Methanosarcina sp. WH1,"University of Illinois, Urbana-Champaign",2627853658,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp. WH1,Yes,,3914091,3520
2515075008,Archaea,Permanent Draft,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),Methanolobus tindarius DSM 2278,DOE Joint Genome Institute (JGI),2515075008,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus tindarius,Yes,"Aquatic, Sediment",3151883,3022
2547132071,Archaea,Permanent Draft,"Pan-genome of Methanobrevibacter smithii, in twins",Methanobrevibacter smithii TS96C,Washington University in St. Louis,2547132071,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter smithii,Yes,"Host, Human intestinal microflora, Soil",1818239,1863
2576861808,Archaea,Permanent Draft,Methanoculleus sp. MH98A Genome sequencing,Methanoculleus sp. MH98A,Agharkar Research Institute,2576861808,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Methanoculleus sp. MH98A,Yes,,2542436,2370
2516653072,Archaea,Permanent Draft,"Completing the genomic survey of haloarchaeal genomes (revised), part 1",Haladaptatus paucihalophilus DX253,DOE Joint Genome Institute (JGI),2516653072,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,Haladaptatus paucihalophilus,Yes,,4317540,4489
2913413389,Archaea,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Halorubrum alkaliphilum DSM 23564,DOE Joint Genome Institute (JGI),2913413389,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum alkaliphilum,Yes,"Aquatic, Fresh water",3098171,3204
2681813131,Archaea,Permanent Draft,"Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA",Methanosarcina mazei 3.H.T.1A.1,"University of Illinois, Urbana-Champaign",2681813131,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Yes,,4072284,3571
2667528102,Archaea,Permanent Draft,"Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA",Methanosarcina mazei YBM.H.M.1A.3,"University of Illinois, Urbana-Champaign",2667528102,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Yes,,4073693,3618
2663762907,Archaea,Permanent Draft,"Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA",Methanosarcina mazei 3.F.T.2.1,"University of Illinois, Urbana-Champaign",2663762907,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Yes,,4101065,3588
2554235503,Archaea,Permanent Draft,Haloarchaeal genomes,Halorubrum hochstenium 1-13-28,"University of California, Davis",2554235503,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum hochstenium,Yes,,3037532,2980
2904940159,Archaea,Permanent Draft,Genome of Haloferax strains isolated from high-salt tide-pools,Halobellus sp. Atlit-38R,Tel Aviv University,2904940159,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,Halobellus sp. Atlit-38R,Yes,,3871390,4249
2835727744,Archaea,Permanent Draft,Methanosarcina sp. DH1,Methanosarcina sp. DH1,Molecular Research LP (MR DNA),2835727744,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,unclassified,Yes,,4574828,4061
2512047039,Archaea,Finished,Pyrobaculum genomes,"Pyrobaculum oguniense TE7, DSM 13380","University of California, Santa Cruz",2512047039,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum oguniense,Yes,"Aquatic, Extreme, Fresh water, Hot spring, Terrestrial",2452920,2980
